PBC,network,time,hi-net-final-belief,low-disc-final-belief,both-net-PBC
0.01,0.01,54140,FALSE,TRUE,FALSE
0.01,0.01,69750,FALSE,FALSE,FALSE
0.01,0.01,68393,FALSE,FALSE,FALSE
0.01,0.01,136501,FALSE,TRUE,FALSE
0.01,0.01,81365,FALSE,TRUE,FALSE
0.01,0.01,31740,FALSE,FALSE,FALSE
0.01,0.01,106443,FALSE,FALSE,FALSE
0.01,0.01,125624,FALSE,TRUE,FALSE
0.01,0.01,42862,FALSE,FALSE,FALSE
0.01,0.01,73735,FALSE,TRUE,FALSE
0.01,0.01,92753,FALSE,FALSE,FALSE
0.01,0.01,67416,FALSE,FALSE,FALSE
0.01,0.01,32695,FALSE,TRUE,FALSE
0.01,0.01,51870,FALSE,FALSE,FALSE
0.01,0.01,69432,FALSE,FALSE,FALSE
0.01,0.01,37410,FALSE,TRUE,FALSE
0.01,0.01,79293,FALSE,FALSE,FALSE
0.01,0.01,43407,FALSE,FALSE,FALSE
0.01,0.01,77882,FALSE,TRUE,FALSE
0.01,0.01,373242,FALSE,FALSE,FALSE
0.01,0.01,57574,FALSE,FALSE,FALSE
0.01,0.01,197315,FALSE,FALSE,FALSE
0.01,0.01,104466,FALSE,FALSE,FALSE
0.01,0.01,85461,FALSE,TRUE,FALSE
0.01,0.01,235862,FALSE,TRUE,FALSE
0.01,0.01,92548,FALSE,FALSE,FALSE
0.01,0.01,261284,FALSE,TRUE,FALSE
0.01,0.01,45927,FALSE,FALSE,FALSE
0.01,0.01,40971,FALSE,TRUE,FALSE
0.01,0.01,100339,TRUE,TRUE,TRUE
0.01,0.01,43858,FALSE,FALSE,FALSE
0.01,0.01,162495,FALSE,TRUE,FALSE
0.01,0.01,79434,FALSE,TRUE,FALSE
0.01,0.01,40733,FALSE,FALSE,FALSE
0.01,0.01,244625,FALSE,FALSE,FALSE
0.01,0.01,62845,FALSE,TRUE,FALSE
0.01,0.01,33559,FALSE,FALSE,FALSE
0.01,0.01,55843,FALSE,TRUE,FALSE
0.01,0.01,199319,FALSE,FALSE,FALSE
0.01,0.01,298621,FALSE,TRUE,FALSE
0.01,0.01,156995,FALSE,FALSE,FALSE
0.01,0.01,70267,FALSE,FALSE,FALSE
0.01,0.01,125975,FALSE,FALSE,FALSE
0.01,0.01,216866,FALSE,FALSE,FALSE
0.01,0.01,48712,FALSE,FALSE,FALSE
0.01,0.01,43273,FALSE,FALSE,FALSE
