discrim,network,time
0.01,0.01,4190
0.01,0.01,7284
0.01,0.01,8176
0.01,0.01,7203
0.01,0.01,7446
0.01,0.01,7061
0.01,0.01,13269
0.01,0.01,3622
0.01,0.01,26743
0.01,0.01,10483
0.01,0.01,7629
0.01,0.01,10745
0.01,0.01,12546
0.01,0.01,17143
0.01,0.01,19106
0.01,0.01,11090
0.01,0.01,11940
0.01,0.01,10932
0.01,0.01,9147
0.01,0.01,9096
0.01,0.01,10599
0.01,0.01,14957
0.01,0.01,14080
0.01,0.01,5105
0.01,0.01,4297
0.01,0.01,17233
0.01,0.01,7493
0.01,0.01,8418
0.01,0.02,5053
0.01,0.02,12123
0.01,0.02,2455
0.01,0.01,28302
0.01,0.01,17133
0.01,0.02,2556
0.01,0.02,3548
0.01,0.02,3600
0.01,0.02,4003
0.01,0.02,5603
0.01,0.02,5506
0.01,0.02,2690
0.01,0.02,5085
0.01,0.02,5369
0.01,0.02,3547
0.01,0.02,4853
0.01,0.02,4198
0.01,0.02,7422
0.01,0.02,8065
0.01,0.02,4769
0.01,0.02,5736
0.01,0.02,9879
0.01,0.02,1815
0.01,0.02,2594
0.01,0.02,4041
0.01,0.02,2859
0.01,0.02,3478
0.01,0.02,7621
0.01,0.02,3494
0.01,0.02,3778
0.01,0.03,2230
0.01,0.02,7654
0.01,0.02,4070
0.01,0.03,4549
0.01,0.03,2430
0.01,0.03,3015
0.01,0.03,3733
0.01,0.03,3000
0.01,0.03,1602
0.01,0.03,2337
0.01,0.03,2408
0.01,0.03,1785
0.01,0.03,3739
0.01,0.03,2195
0.01,0.03,4713
0.01,0.03,2095
0.01,0.03,2864
0.01,0.03,3166
0.01,0.03,5982
0.01,0.03,5101
0.01,0.03,2703
0.01,0.03,4422
0.01,0.03,5201
0.01,0.03,5345
0.01,0.03,3688
0.01,0.03,2222
0.01,0.03,2742
0.01,0.03,1041
0.01,0.03,5807
0.01,0.03,2043
0.01,0.03,1199
0.01,0.04,1394
0.01,0.03,4049
0.01,0.04,2622
0.01,0.04,4144
0.01,0.04,1922
0.01,0.04,2963
0.01,0.04,1207
0.01,0.04,2294
0.01,0.04,2166
0.01,0.04,2114
0.01,0.04,1418
0.01,0.04,1363
0.01,0.04,2503
0.01,0.04,2958
0.01,0.04,1711
0.01,0.04,2368
0.01,0.04,1158
0.01,0.04,1550
0.01,0.04,1984
0.01,0.04,1888
0.01,0.04,1469
0.01,0.04,2794
0.01,0.04,1910
0.01,0.04,1810
0.01,0.04,5983
0.01,0.04,1954
0.01,0.04,2602
0.01,0.04,3392
0.01,0.04,1160
0.01,0.04,2303
0.01,0.04,3185
0.01,0.05,2980
0.01,0.05,3423
0.01,0.05,3033
0.01,0.05,1693
0.01,0.05,1844
0.01,0.05,3135
0.01,0.05,2166
0.01,0.05,1593
0.01,0.05,601
0.01,0.05,2932
0.01,0.05,4810
0.01,0.05,2504
0.01,0.05,1689
0.01,0.05,1322
0.01,0.05,1444
0.01,0.05,1908
0.01,0.05,3803
0.01,0.05,1358
0.01,0.05,1951
0.01,0.05,1519
0.01,0.05,2039
0.01,0.05,1735
0.01,0.05,1396
0.01,0.05,4457
0.01,0.05,3000
0.01,0.05,1651
0.01,0.05,1553
0.01,0.05,3119
0.01,0.06,1227
0.01,0.05,3803
0.01,0.06,2207
0.01,0.05,3189
0.01,0.06,1026
0.01,0.06,1068
0.01,0.06,1675
0.01,0.06,1691
0.01,0.06,973
0.01,0.06,1694
0.01,0.06,1918
0.01,0.06,1734
0.01,0.06,1248
0.01,0.06,2215
0.01,0.06,3751
0.01,0.06,1395
0.01,0.06,2447
0.01,0.06,6288
0.01,0.06,1823
0.01,0.06,1260
0.01,0.06,2530
0.01,0.06,2333
0.01,0.06,1297
0.01,0.06,2063
0.01,0.06,2051
0.01,0.06,2372
0.01,0.06,738
0.01,0.06,898
0.01,0.06,1125
0.01,0.06,1967
0.01,0.06,1692
0.01,0.06,786
0.01,0.07,713
0.01,0.07,825
0.01,0.07,1710
0.01,0.07,1987
0.01,0.07,1913
0.01,0.07,1693
0.01,0.07,1786
0.01,0.07,2149
0.01,0.07,720
0.01,0.07,1573
0.01,0.07,3085
0.01,0.07,2511
0.01,0.07,2169
0.01,0.07,1275
0.01,0.07,848
0.01,0.07,797
0.01,0.07,454
0.01,0.07,851
0.01,0.07,989
0.01,0.07,3011
0.01,0.07,1351
0.01,0.07,1045
0.01,0.07,946
0.01,0.07,869
0.01,0.07,1371
0.01,0.07,2577
0.01,0.07,748
0.01,0.07,1747
0.01,0.08,286
0.01,0.07,1439
0.01,0.07,1385
0.01,0.08,752
0.01,0.08,1031
